abandon,"vt.放弃,遗弃;n.放任,狂热"
somehow,adv.不知何故
somewhat,"adv.稍微,有点,有些"
sophisticated,"adj.诡辩的,久经世故的"
sore,"adj.疼痛的,痛心的,剧烈的;n.痛的地方,痛处"
sorrow,"n.悲哀,悲痛"
sour,"adj.酸的,发酵的,酸腐的,酸味的"
source,"n.来源,水源,消息来源,原始资料,发起者,源,源极"
sow,"n.大母猪;vt.播种,散布,使密布;vi.播种"
spacecraft,n.太空船
spade,"n.铲,铁锹;v.铲"
span,"n.跨度,跨距,范围;v.横越"
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电;vi.闪烁,发火花,求婚;vt.发动,鼓舞,使有朝气,求婚"
specialist,"n.专门医师,专家"
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
species,"n.种类,(原)核素;n.[律]式样;n.[宗]圣餐物"
specific,"n.特效药,细节;adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
specifically,"adv.特定的,明确的"
specify,"vt.指定,详细说明,列入清单"
specimen,"n.范例,标本,样品,样本,待试验物"
spectacular,"adj.引人入胜的,壮观的"
speculate,"vi.推测,思索,做投机买卖"
spelling,"n.拼法,拼写法"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
spider,"n.蜘蛛,设圈套者,三脚架"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量;vt.使溢出,使散落,洒,使流出,使摔下,倒出;vi.溢出,涌流,充满"
spin,"v.旋转,纺,纺纱;n.旋转"
spiritual,adj.精神上的
spit,"n.唾液;v.吐(唾沫),吐出,发射,发出,喷吐"
spite,"n.(in～of)不顾,不管,敌意;v.困扰"
splendid,"adj.壮丽的,辉煌的,极好的"
split,"v.劈开,(使)裂开,分裂,分离;n.裂开,裂口,裂痕"
spoil,"vt.损坏,搞糟,宠坏,溺爱;v.扰乱"
spokesman,"n.发言人,代表者"
sponsor,"n.发起人,主办者,保证人,主办人;vt.发起,主办;v.赞助"
spot,"n.班点,污点,地点,场所,现场;v.沾污,弄脏,侦察;vt.认出,发现"
spray,"n.喷雾,飞沫;vt.喷射,喷溅"
spur,"n.踢马剌,剌激物,(鸟,虫等的)距,刺激;v.鞭策,刺激,疾驰,驱策"
squeeze,"n.压榨,挤;v.压榨,挤,挤榨"
stable,adj.稳定的
stack,"n.堆,一堆,堆栈;v.堆叠"
stadium,n.露天大型运动场
staff,"n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱;vt.供给人员,充当职员"
stain,"n.污点,瑕疵;v.染污,沾污"
stake,n.树桩
stale,"n.(牲畜等的)尿;adj.不新鲜的,陈腐的,疲倦的,陈旧的;vt.使变旧,走味;vi.变陈旧,变无味,失时效,撒尿"
standpoint,"n.立场,观点"
stare,"v.(～at)凝视,盯着看"
starve,vt.使饿死;vi.饿得要死
statement,"n.声明,陈述,综述"
static,"adj.静态的,静力的,静电噪声"
statistic,"n.统计量;adj.统计的,统计学的"
statue,vt.以雕像装饰;n.雕像
status,"n.身份,地位,情形,状况"
steady,"adj.稳固的,稳定的,坚定的,扎实的,坚定不移的;v.(使)稳定,(使)稳固"
steamer,"n.汽船,蒸汽机"
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的;n.悬崖,峭壁,浸渍,浸渍液;v.浸,泡,沉浸"
steer,"v.驾驶,掌舵"
stem,"n.茎,干,词干,茎干;v.滋生,阻止"
sticky,"adj.粘的,粘性的"
stiff,"adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的"
stimulate,"vt.刺激,激励;v.刺激,激励"
sting,"n.刺,刺痛,针刺;v.刺,刺痛,刺激"
tremendous,"adj.极大的,巨大的"
trend,"n.倾向,趋势;vi.伸向,倾向,通向"
trial,"n.试验,考验,审讯,审判"
triangle,"n.[数]三角形,三人一组,三角关系"
trim,"adj.整齐的,整洁的;vt.整理,修整,装饰"
triumph,"n.胜利,成功;v.获得胜利"
troop,"n.群,组,多数,军队;vi.群集,结队,成群而行;vt.把(骑兵)编成骑兵连"
tropical,"adj.热带的,热情的"
troublesome,"adj.麻烦的,讨厌的,棘手的"
truly,"adv.真实地,不假"
trumpet,n.喇叭
trunk,"n.干线,树干,躯干,箱子,主干,象鼻;vt.把...放入旅行箱内;adj.树干的,躯干的,干线的,箱形的"
tube,"n.管,管子,[英]地铁,<美>电子管,显象管"
tune,"n.曲调,调子,和谐,合调;vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
tunnel,"n.隧道,地道"
turbine,n.涡轮
tutor,"n.家庭教师,(大学)指导教师,助教,监护人,辅导教师;v.辅导"
twist,"n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状;vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织;vi.扭弯,扭曲,缠绕,扭动,呈螺旋形"
typewriter,n.打字机
typical,"adj.典型的,象征性的"
typist,n.打字员
tyre,n.轮胎;vt.装轮胎于
ugly,"adj.丑陋的,难看的"
ultimate,"adj.最后的,最终的,根本的;n.最终"
umbrella,"n.伞,雨伞,庇护"
uncover,"vt.揭开,揭露;v.揭示"
undergo,"vt.经历,遭受,忍受"
undergraduate,"n.大学肄业生,(尚未取得学位的)大学生;adj.大学生的"
underground,"adj.地下的,地面下的,秘密的;n.[英]地铁;adv.在地下,秘密地"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调;n.下划线"
underneath,adv.在下面;prep.在...的下面
understanding,"n.谅解,理解"
undertake,"vt.承担,担任,许诺,保证;v.采取"
undo,"vt.解开,松开;v.取消,撤消"
undoubtedly,"adv.无庸置疑地,的确地"
uneasy,"adj.心神不安的,不自在的,不稳定的,不舒服的;adv.心神不安地,不自在地,不稳定地"
unexpected,"adj.想不到的,意外的,未预料到"
unfortunately,adv.不幸地
union,"n.联合,合并,结合,联盟,协会"
unique,"adj.唯一的,独特的"
unite,"v.联合,团结"
unity,"n.团结,联合,统一,一致"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
universe,"n.宇宙,世界,万物,领域"
unless,"conj.如果不,除非"
unlike,"adj.不同的,不相似的;prep.不象...,和...不同"
unload,"vi.卸货,退子弹;vt.摆脱...之负担,倾销,卸"
unusual,"adj.不平常的,与众不同的,不寻常的"
upper,"adj.上面的,上部的,较高地位的"
upright,"adj.垂直的,竖式的,正直的,诚实的,合乎正道的;adv.笔直,竖立着;n.垂直,竖立"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦;vi.翻倒,倾覆;n.翻倒,混乱"
up-to-date,"adj.直到现在的,最近的,当代的,新式的"
urban,"adj.城市的,市内的（suburbn.市郊,郊区;exurbn.城市远郊,城市远郊富裕居住区）"
urge,"vt.催促,力劝;n.强烈欲望,迫切要求;v.促进"
urgent,"adj.急迫的,紧急的"
usage,"n.使用,用法"
utility,"n.效用,有用"
utilize,vt.利用
utmost,"n.极限,最大可能,极力;adj.极度的,最远的"
utter,"adj.全然的,绝对的;vt.发出,做声,发表,发射,流通"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
vacation,"n.假期,休假,(房屋等的)腾出;v.<美>度假,休假"
vacuum,"n.真空,空间,真空吸尘器;adj.真空的,产生真空的,利用真空的;vt.用真空吸尘器打扫"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
van,"n.有篷货车,先锋,前驱,前卫;vt.用车搬运"
vanish,"vi.消失,突然不见,[数]成为零;n.[语]弱化音"
vapour,"n.蒸汽,水蒸气"
variable,"n.[数]变数,可变物,变量;adj.可变的,不定的,易变的,[数]变量的"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
variety,"n.变化,多样性,种种,品种,种类"
various,"adj.不同的,各种各样的,多方面的,多样的"
vary,"vt.改变,变更,使多样化;vi.变化,不同,违反"
vast,"adj.巨大的,辽阔的,大量的,巨额的"
vehicle,"n.交通工具,车辆,媒介物,传达手段"
venture,"n.冒险,投机,风险;v.冒险,冒昧,斗胆,胆敢(谦语)"
verify,"vt.检验,校验,查证,核实;[计]打开或关闭文件的读写校验"
version,"n.译文,译本,翻译"
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的;n.垂直线,垂直面,竖向"
vessel,"n.船,容器,器皿,脉管,导管"
interact,"vi.互相作用,互相影响"
invariably,"adv.不变地,总是;n.总是"
irrigation,"n.灌溉,冲洗"
likelihood,"n.可能,可能性"
literacy,n.有文化，有教养，有读写能力
locality,"n.位置,地点"
lounge,"n.闲逛,休闲室,长沙发;vi.闲荡,懒洋洋地躺卧;vt.虚度光阴"
memorize,"v.[亦作memorise]记住,记忆"
monetary,"adj.货币的,金钱的"
monopoly,"n.垄断,垄断者,专利权,专利事业"
morality,adj.道德的;n.道德
muscular,"adj.肌肉的,强健的"
notwithstanding,"prep.虽然,尽管;adv.尽管,还是;conj.虽然,尽管"
nurture,"n.养育,教育,教养,营养品;vt.养育,给与营养物,教养"
olive,"n.橄榄树,橄榄叶,橄榄枝,橄榄色"
optimum,n.最适宜;adj.最适宜的
paperback,"n.平装本,纸面本"
pedestrian,"n.步行者;adj.徒步的,呆板的,通俗的"
permissible,adj.可允许的
pest,n.有害物
physiological,"adj.生理学的,生理学上的"
plague,"n.瘟疫,麻烦,苦恼,灾祸;vt.折磨,使苦恼,使得灾祸"
preach,v.鼓吹
premature,"adj.未成熟的,太早的,早熟的"
prescription,"n.指示,规定,命令,处方,药方"
prestige,"n.声望,威望,威信"
prevalent,"adj.普遍的,流行的"
productive,"adj.生产性的,生产的,能产的,多产的"
productivity,n.生产力
profess,v.表示
profitable,adj.有利可图的
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
prospective,adj.预期的
pumpkin,n.南瓜
purity,"n.纯净,纯洁,纯度"
pursuit,n.追击
quest,n.寻求
random,"n.随意,任意;adj.任意的,随便的,胡乱的;adv.胡乱地"
rap,"n.叩击,轻拍,轻敲,斥责;vt.敲,拍,打,厉声说出,斥责,使着迷;vi.敲击,交谈;abbr.[军]RocketAssistedProjectile,火箭助推炮弹"
recite,"v.背诵,朗读,叙述,[律]书面陈述(事实)"
reconcile,"vt.使和解,使和谐,使顺从"
recycle,"v.使再循环,反复应用;n.再循环,再生,重复利用"
referee,"n.仲裁人,调解人,[体]裁判员;v.仲裁,裁判"
relay,"n.驿马,接替,[电工]继电器;vt.(消息,货物等)分程传递,使接替,转播;vi.得到接替,转播"
repertoire,"n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能"
residential,"adj.住宅的,与居住有关的"
reunion,"n.团圆,重聚"
revelation,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
revenge,"n.报仇,复仇;vt.替...报仇,复仇"
revolve,"v.(使)旋转,考虑,循环出现"
scrutiny,n.详细审查
seemingly,adv.表面上地
silicon,"n.[化]硅,硅元素"
slogan,"n.口号,标语"
smuggle,"n.走私,偷带;v.走私"
snack,"n.小吃,快餐,一份;v.吃快餐(小吃)"
solitary,adj.孤独的
stability,n.稳定性
stationary,固定的
stereo,"n.立体声系统,立体声,[印]铅版,立体照片;adj.立体的,立体感觉的"
stern,"adj.严厉的,苛刻的;n.船尾"
subjective,"adj.主观的,个人的"
subordinate,"adj.次要的,从属的,下级的;n.下属;v.服从"
sue,"vt.控告,向...请求,请愿;vi.提出诉讼,提出请求"
telecommuications,"n.电讯,长途通讯,无线电通讯,电信学"
thereafter,"adv.其后,从那时以后"
tile,"n.瓦片,瓷砖"
timely,"adj.及时的,适时的"
token,"n.表示,向征,记号,代币;adj.象征的,表意的"
tolerant,"adj.容忍的,宽恕的,有耐药力的"
toll,"n.通行税(费),费,代价,钟声;vt.征收,敲钟,鸣(钟)(特指宣布死亡),勾引,引诱;vi.征税,鸣钟"
tract,"n.广阔的地面,土地,地方,地域,(解剖)管道,小册子"
transient,"adj.短暂的,瞬时的;n.瞬时现象"
transition,"n.转变,转换,跃迁,过渡,变调"
tuition,n.学费
unemployment,"n.失业,失业人数"
unify,"vt.统一,使成一体"
versus,"prep.对(指诉讼,比赛等中),与...相对"
vocal,"adj.发嗓音的,声音的,有声的,歌唱的;n.元音,声乐作品"
vulnerable,"adj.易受攻击的,易受...的攻击"
wallet,"n.皮夹,钱夹,钓鱼带"
