whitish,adj. 发白的
prevail,v. 盛行，占优势
archetype,n. 原型
shrivel,v. 枯萎
fortification,n. 防御工事
extinct,adj. 灭绝的，不再活跃的
Ireland,n. 爱尔兰
temporal,adj. 时间的
diagnose,v. 诊断
dictate,v. 强加
convince,v. 使...信服
thorn,n. 刺
accuracy,n. 精确
bow,n. 弓
pack,n. 包装；v. 包装
rudimentary,adj. 原始的 ，基本的
notable,adj. 著名的，重大的
clarity,n. 清晰
undisputed,adj. 无可争辩的
photocopy,v. 复印
authentication,n. 验证
emission,n. 排放，排放物
bare,adj. 裸露的，仅仅的
module,n. 模块
asphalt,n. 沥青
reactive,adj. 反应性的
vertically,adv. 垂直地
grand,adj. 壮观的
precaution,n. 预防措施
separator,n. 分离器
focal,adj. 焦点的
ash,n. 灰烬，梣树
slam,v. 猛烈抨击
stem,n. 梗；v. 起源
implementation,n. 实施
dynastic,adj. 王朝的
peasant,n. 农民
sibling,n. 兄弟姐妹
preclude,v. 排除
poster,n .海报
carbon,n. 碳
commentary,n. 评论
tentativeness,n. 临时性
sustain,n. 维持
routinely,adv. 例行地
propel,v. 推进
dropping,n. 粪
catastrophic,adj. 灾难性的
indoor,adj. 室内的
barren,adj. 贫瘠的
consensus,n. 一致意见
printout,n .打印稿
grandeur,n. 显赫，壮丽
dislocate,v. 使...脱臼
recycle,v. 回收
bursa,n. 囊
fragile,adj. 脆弱的
inclusion,n. 内含物
reverberation,n. 反响，回响
tendency,n. 趋势
stir,v. 搅动
substantiate,v. 证实
alliance,n. 同盟
adult,n. 成年人；adj. 成年的
industrially,adv. 工业上
province,n. 省
fur,n. 毛皮
cue,n. 信号，暗示
renewal,n. 续延
collision,n. 碰撞
supplement,n. 补充
hypothesize,v. 假设
admit,v. 允许…进入
insult,v. 辱骂，侮辱
indistinct,adj. 不清晰的
raven,n. 乌鸦
bucket,n. 桶
leaflet,n. 小叶
yarn,n. 纱线
entrepreneur,n. 企业家
exempt,v. 免除
surprised,adj. 惊讶的
yield,n. 产量；v. 产生
carefully,adv. 小心地
rarity,n. 珍品
disprove,v. 证明…是虚假的
slack,v. 懒散
unreliability,n. 不可靠性
pivotal,adj. 关键的
endangered,adj. 濒临灭绝的
chemically,adv. 化学地
restorer,"n. 修补者,修建者"
defy,v. 反抗
feeble,adj. 有气无力的，站不住脚的
fraction,n. 一小部分，分数
intuitive,adj. 凭直觉的
slab,n. 厚板
annual,adj. 年度的，持续一年的；n. 一年生植物
resident,n. 居民；adj. 常住的；v. 居住
furry,adj. 毛皮覆盖的
absolutely,adv. 绝对地
exception,n. 例外
catastrophe,n. 灾难
mythic,adj. 神话的
revision,n. 修正
alike,adj. 相似的
voluminous,adj. 宽松的
irony,n. 反语，具有讽刺意味的事
perfectly,adv. 完美地，完全地
presidency,n . 总统的职位（任期）
Jovian,adj. 木星的
negligible,adj. 可忽略不计的
actively,adv. 积极地
remuneration,n. 酬金
undeniable,adj. 无可否认的
privatize,v. 使…私有化
truffle,n. 块菌
quiz,n. 测验
profitable,adj. 获利的
guideline,n. 指导方针
caravel,n. 轻快帆船
displace,v. 替代
paleontology,n. 古生物学
clamor,n. 喧闹；v. 高喊
conduct,v. 实施，传导，安排；n. 行为
retard,v. 阻碍
hunt,v. 追捕；n. 打猎
earring,n. 耳环
forecast,v. 预测；n. 预测
corruption,n. 贪污贿赂
carbonate,n. 碳酸盐，碳酸酯
groundbreaking,adj. 开创性的
songbird,n. 鸣禽
isle,n. 岛
porosity,n. 多孔性
refractory,adj. 难熔的
axial,adj. 轴的，轴线的
conflict,n. 冲突；v. 冲突
reversible,adj. 可逆的
interchangeably,adv. 可交换地
reductionism,n. 还原论，归纳主义
lobster,n. 龙虾
overt,adj. 明显的，公然的
slender,adj. 苗条的
graduate,n. 毕业生，研究生；v. 毕业；adj. 研究生的
tentacle,n. 触须
diving,n. 潜水
demonstration,n. 示范
fasten,v. 系上
ion,n. 离子
gorgeous,adj. 华丽的
birthplace,n. 出生地
burial,n. 葬礼，掩埋
identical,adj. 相同的
momentary,adj. 短暂的
afar,adv. 向远处
cushion,n. 垫子
delighted,adj. 快乐的
venomous,adj. 有毒的
deposition,n. 沉淀
plaster,v. 在…上抹灰泥；n. 石膏
sparse,adj. 稀少的
pile,n. 堆
rob,v. 剥夺
council,n. 议会
cave,n. 洞穴
hamper,v. 阻碍
conductivity,n. 传导性
affordable,adj. 可负担的
filtration,n. 过滤
somehow,adv. 以某种方式
coincide,v. 同时发生
bushy,adj. 灌木丛生的
unprofitable,adj. 不赚钱的
industrialize,n. 工业化
inflatable,adj. 可充气的
hesitation,n. 犹豫
chart,n. 表格
usage,v. 使用；n. 使用
instinct,n. 本能，直觉
cart,v. 运送
spontaneously,adv. 自发地
fuel,n. 燃料；v. 给…加燃料，使…加剧
fiction,n. 幻想，小说
choreography,n. 编舞
gently,adv. 轻柔地，平缓地
motivation,n. 动机
unlike,prep. 和…不同；adj. 不同的
collaborate,v. 合作
democratization,n. 民主化
stylus,n. 尖笔
woodland,n. 树林
improvise,v. 即兴创作
densely,adv. 密集地
refined,adj. 精炼的，精密的
marriage,n. 婚姻，紧密结合
passive,adj. 被动的
woolly,adj. 毛茸茸的
parade,n. 游行
option,n. 选择
sanction,n. 制裁
domesticate,v. 驯化
convincingly,adv. 令人信服地
programming,n. 规划，编程
disappear,v. 消失
numerical,adj. 数字的
multitudinous,adj. 众多的
perish,v. 毁灭，凋零
occasional,adj. 偶尔的
assess,v. 评价，估算
perplex,v. 使困惑
overwhelming,adj. 压倒性的
dune,n. 沙丘
hydroelectric,adj. 水力发电的
requisite,n. 必需物
widespread,adj. 广泛的
accurately,adv. 精确地
vocalize,v. 发声
stretchy,adj. 有弹性的
anxiety,n. 焦虑
proceed,v. 继续
ambitious,adj. 有志向的
coastline,n. 海岸线
elevated,adj. 高的
revenue,n. 收入
oxygen,n. 氧气
percussion,n. 振动，打击乐器
prism,n .棱镜
hierarchical,adj. 等级制度的
upside,n. 上面；adj. 上部
versatile,adj. 多才多艺的
constriction,n. 约束，绞缠
synonymous,adj. 同义的
derive,v. 获得，起源
advertiser,n. 广告商
autonomy,n. 自主
specimen,n. 样本
vegetative,adv. 植物的
exhale,v. 呼气
evacuate,v. 撤出
editing,n. 编辑，剪辑
revolutionary,adj. 革命性的
astronaut,n. 宇航员
flexibly,adv. 灵活地
insulate,v. 使隔绝
command,v. 拥有，值得；n. 控制权
proxy,adj. 代替的
overshot,adj. 上射式的
whisker,n. 胡须，腮须
fission,n. (核)裂变
generation,n. 一代，[电]产生
puppy,n. 幼犬
intelligent,adj. 有才智的
academics,n. 学者，学习
discontent,v. 不满
daze,v. 使茫然
outflow,n. 外流；v. 外流
concession,n. 特许权
immediacy,n. 即时性
inherently,adv. 内在地
household,n. 家庭；adj. 家庭的
couch,n. 长沙发
gloss,n. 光泽
cease,v. 停止
kneel,v. 跪下
overlie,v. 覆在…的上面
botanist,n. 植物学家
frankly,adv. 坦率地
commitment,n. 承诺
exceptionally,adv. 特别地，例外地
incentive,n. 激励，优惠
reveal,v. 展现，披露
humid,adj. 湿热的
germinate,v. 发芽，产生
caterpillar,n. 毛虫
uncanny,adj .离奇的
refreshment,n. 点心，使提神的东西
diurnal,adj. 白天的
moderately,adv. 适度地
equal,adj. 平等的；n. 相当者
pliable,adj. 易弯的
oppositely,adv. 反向地
classical,adj. 古典的，古希腊(或古罗马)文明的，传统的
comprehensive,adj. 全面的
seagrass,n. 海草
comparative,adj. 相对的，比较的
viper,n. 毒蛇
legitimately,adv. 合理地
decoration,n. 装饰品
engine,n. 发动机
immaturity,n. 未成熟
hook,v. 用钩固定；n. 听筒
muffle,v. 减弱
humidity,n. 潮湿，湿度
explore,v. 探索，勘察
behaviorally,n. 行为地
encouragement,n. 鼓励
spark,v. 闪光
dominance,n. 控制，支配地位
confusion,n. 困惑
mist,n. 薄雾
buffer,v. 保护
proliferate,v. 增值，扩散，激增
extensive,adj. 广阔的
pathogen,n. 病原体
goodness,n. 美德
sensitive,adj. 敏感的
mania,n. 狂热
perplexing,adj. 使人困惑的
whine,n. 哀叫声
gazelle,n. 瞪羚
bug,n. 程序错误，细菌
wilderness,n. 荒野
inspection,n. 检查
gateway,n. 大门口
ridership,n. 公交乘客人数
painting,n. 绘画，上漆
unexplained,adj. 未解释的
incorporate,v. 合并
digestion,n. 消化
hub,n. 中心
rot,v. 腐烂
fixation,n. 固定
ultra,adj. 极端的
recognize,v. 认识到，辨别
scholarly,adj. 学术的
tribute,n. 贡金，致敬
restraint,n. 抑制
relentless,adj. 持续的
chew,v. 咀嚼
ladder,n. 梯子
preliminary,adj. 初步的
unpleasant,adj. 令人不快的
layout,n. 布局，排版
client,n. 客户
denominator,n. 共同特性
adept,adj. 熟练的
expectation,n. 预料，希望
appendage,n. 附属物
chronic,adj. 慢性的
morally,adv. 道德上地
packaging,n. 包装
reminder,n. 提醒人的事物
contour,n. 轮廓
consequence,n. 结果
attic,n. 阁楼
photographer,n. 摄影师
foresight,n. 先见之明
mailbox,n. 信箱
dietary,adj. 日常饮食的
fantasy,n. 幻想
current,n. 水流，趋势；adj. 当前的
hooked,adj. 入迷的
ambition,n. 志向
professor,n. 教授
reasonable,adj. 合理的，明智的
saltwater,adj. 海水的；n. 海水
understandable,adj. 可以理解的
internship,n. 实习
relief,n. 减轻，浮雕法
evict,v. 驱逐
doable,adj. 可行的
opportunistic,adj. 机会主义的
equinox,n. 二分点 [春分或秋分]
pollinate,v. 给...授粉
experienced,adj. 有经验的
archeologist,n. 考古学家
conformity,n. 从众
hunting,n. 打猎
specialization,n. 专门化
burden,n. 负担，重负
enlightenment,n. 启迪
band,n. 带状物，群落，乐队；v. 将…分类
deprivation,n. 缺乏
reflective,adj. 沉思的，反映的
regenerate,v. 再生，革新
headway,n. 前进
alumni,n. 校友
inland,adj. 内陆的，国内的
genuineness,n. 真实性
frustration,n. 失望
exploration,n. 探索，勘察
character,n. 特征，性格，人物
irritation,n. 恼怒
mill,n. 磨坊，制造厂；v. 碾磨，乱转
blanket,n. 覆盖层，毯子；v. 覆盖
reinvent,v. 彻底改造，重新使用
blob,n. 一团
twinkle,v. 闪烁
wholly,adv. 完全
decorate,v. 装饰
pesticide,n. 杀虫剂
detach,v. 使…分开
shell,n. 壳
anniversary,n. 周年纪念日
faulty,adj. 有缺陷的
wedge-shape,adj. 楔形的
poise,v. 悬停
tentative,adj. 暂时的
multiple,adj. 多种的
coalesce,v. 合并；n. 合并
nucleus,n. 核心
description,n. 描述
venture,v. 冒险；n. 冒险
debris,n. 残骸
nerve,n. 神经
droplet,n. 小滴
electrify,v. 使…通电，使...电气化
forested,adj. 森林茂密的
obscure,v. 使…费解，掩盖；adj. 鲜为人知的
hind,adj. 后面的
supposed,adj. 应当的
hilly,adj. 多丘陵的
malnutrition,n. 营养不良
downwind,adv. 顺风地
forestland,n. 林地
vitality,n. 活力
gamma,n. 伽马
coat,v. 覆盖
buoyancy,n. 浮力，乐观的性格
scheme,n. 计划，结构
subtle,adj. 细微的，精妙的
Greece,n. 希腊
soundtrack,n. 音轨
infest,v. 滋生
matrix,n. 基体
irritant,n. 刺激物
beforehand,adv. 提前，事先
immortal,adj. 永生的
simultaneity,n. 同时发生
supercontinent,n. 超大陆
subterranean,adj. 地下的
precedent,n. 先例
sinkhole,n. 落水洞
certificate,n. 证明文书
plastered,adj. 抹灰泥的
microbial,adj. 微生物的
aquatic,adj. 水生的
fundamentally,adv. 基本地
congestion,n. 拥挤
phrase,n. 短语，词组
germ,n. 微生物
mule,n. 骡子
farmstead,n. 农庄
tasting,n. 品尝
futurism,n. 未来主义
faint,adj. 虚弱的；v. 昏厥
albeit,adv. 尽管
ownership,n. 所有权，所有制
contact,n. 接触，联系，熟人；v. 联系
contention,n. 争论，论点
license,n. 许可证
chore,n. 家务活
snowball,n. 雪球
virtuoso,n. 艺术大师
solo,adj. 单独的；n. 独奏
regiment,n. 兵团
partnership,n. 合伙关系
antelope,n. 羚羊
temporary,adj. 短期的，临时的
snippet,n. 片断
juvenile,n. 少年，幼兽；adj. 少年的，幼兽的
microgram,n. 微克
radiator,n. 暖气
inherit,v. 继承
ornamental,adj. 装饰的
celebrity,n. 名人
arrowhead,n. 箭头
doorway,n. 门道
profit,n. 利润；v. 受益
restore,v. 修复
orderly,adj. 有序的
uncustomary,adj. 未经海关通过的，不寻常的
avalanche,n. 雪崩
fable,n. 寓言，神话
relate,v. 把...关联起来
nightmare,n. 噩梦
canyon,n. 峡谷
transit,v. 运输
fetus,n. 胎儿
league,n. 联盟
imperfect,adj. 不完全的
squarely,adv. 正好
squash,n. 南瓜
migrate,v. 迁徙
judge,v. 判断；n. 法官
exchanger,n. 货币兑换者
outlier,n. 离开本体的事物
nomadic,adj. 游牧的
footprint,n. 脚印
prop,v. 支持；n. 支撑物
glacier,n. 冰川
reassemble,adj. 重新集合，重新装配
landslide,n. 塌方
oversight,"n. 疏忽, 失察"
failure,n. 失败，缺乏，破产，断裂
wrist,n. 腕关节
consumption,n. 消耗量，消费
unlimited,adj. 无限制的
bellow,n. 鼓风机
inanimate,adj. 无生命的
domestic,adj. 家里的，驯养的，国内的
radioactivity,n. 放射
characterize,v. 描绘；v. 是…的特征
royalty,n. 皇室，王权
commercialization,n. 商业化
divorce,v. 分离
wand,n. 棒
refine,v. 精炼，提纯，改善
fortuitous,adj. 偶然的
musician,n. 音乐家
degrade,v. 使恶化，使降解
rectangular,adj. 长方形的
dynamo,n. 发电机
locality,n. 地点
quote,v. 引用；n. 引用
leisure,n. 空闲
promissory,adj. 约定的
zoology,n. 动物学
heel,n. 脚后跟
hybridize,v. 杂交
remodel,v. 改造
innate,adj. 天生的
slum,n. 贫民窟
benefit,n. 益处；v. 有益于
event,n. 事件
archaeological,adj. 考古学的
slice,v. 划破；n. 薄片
assigned,adj. 分配的
artifact,n. 人工制品
tactile,adj. 触觉的
panel,n. 板
Latin,n. 拉丁语，拉丁人；adj. 拉丁语的，拉丁人的
majority,n. 大多数
occupy,v. 占据，居住，担任
cream,n. 米黄色
exclusively,adv. 仅仅
maximally,adv. 最大地
jointly,adv. 共同地
random,adj. 随机的
represent,v. 代表，描绘，表达
discredit,v. 使得...不可信
befit,v. 适合于
humor,n. 幽默
nut,n. 坚果
foggy,adj. 有雾的
organic,adj. 有机的
waterway,n. 航道
classify,v. 将…分类
structural,adj. 结构上的
severity,n. 严重
hunter,n. 猎人
rigorously,adv. 严厉地
productive,adj. 高产的，生产的
poke,v. 戳
cyclonic,adj. 气旋的
casually,adv. 随意地
arduous,adj. 艰苦的
periodic,adj. 周期性的
mutate,v. 突变
layered,adj. 分层的
unresolved,adj. 不果断的， 不坚定的
remnant,n. 剩余
cornet,n. 短号
shipping,n. 货运，船舶
unobservable,adj. 不可观测的
reputation,n. 名誉，声望
nonetheless,adv. 然而
deficient,adj. 缺乏的
ignore,v. 忽视
economist,n. 经济学家
ruling,adj. 统治的
saxophone,n. 萨克斯管
spoil,v. 变质；n. 赃物
upfront,adj. 在前面的
link,v. 联系；n. 联系
adequate,adj. 足够的，适当的
mood,n. 心情，气氛
dip,v. 下沉；n. 凹地
academy,n. 研究院，专科学院
conclusion,n. 结论
parental,adj. 父母的
malfunction,n. 故障
colorful,adj. 丰富多彩的
orientation,n. 方向，定向
semiarid,adj. 半干旱的
capable,adj. 有…可能的
shepherd,n. 牧羊人
troubadour,n. 行吟诗人
deprive,v. 剥夺
char,v. 把…烧焦
explosion,n. 激增，爆炸
impersonal,adj. 客观的
novelist,n. 小说家
isolate,v. 隔离，使…孤立
engagement,n. 交战
balance,n. 平衡；v. 使保持平衡
pendulous,adj. 悬垂摆动的
equality,n. 平等
reliable,adj. 可靠的
innovation,n. 革新
straightforward,adj. 直截了当的
alloy,n. 合金
irrelevant,adj. 不相关的
cereal,n. 谷物
gradually,adv. 逐渐地
vision,n. 视力，视野
ceremonial,adj. 礼仪的
mailing,n. 邮寄
operator,n. 操作者
tubing,n. 管子
manifest,v. 显现
thrust,n. 动力
hardship,n. 磨难
skinny,adj. 极瘦的
alternative,adj. 可供替代的；n. 可能的选择
validate,v. 确认
emphasize,v. 强调
detectable,adj. 可察觉的
hourly,adj. 按小时计算的
complain,v. 抱怨
settle,v. 定居，沉降，解决，付清
reporter,n. 记者，报告人
reactor,n. 反应堆，反应器
prosperity,n. 繁荣
spectroscopic,adj. 光谱学的，分光镜的
topography,n. 地形
jazz,n. 爵士乐
ordeal,n. 磨难
deception,n. 欺骗
depiction,n. 描写
welfare,n. 福利
turbine,n. 涡轮机
climatic,adj. 气候的
documentary,adj. 纪实的；n. 纪录片
advertising,n. 广告，广告业
toehold,n. 立足点
antibiotic,n. 抗生素
network,n. 网络
secondly,adv. 其次
retrieve,v. 检索，取回
commensurately,adv. 相当地
fascination,n. 吸引力
dorm,n. 宿舍
diffusion,n. 传播，扩散
